Age Group,Gender,Education,Monthly Income,City,Employment Status,Shopping Frequency,Avg Spend per Visit,Preferred Payment,Product Categories,Offer Sensitivity,Local vs Intl Brands,Preferred Shopping Time,Loyalty Program Member,Loyalty Usage Frequency,Satisfaction Score (1-10),Would Recommend,Preferred Rewards,Suggested Improvement,Willing to Try New Service,Willingness to Pay (custom services),Switch for Better Tech,Shopping Challenges,Importance Scores,Loyalty Features Desired
36–45,Male,Bachelor's,30k–50k,City C,Homemaker,Weekly,309.72,UPI,"Fresh Produce, Snacks",Moderately,Sometimes,Night,Yes,Always,5,No,"Priority Checkout, Cashback",Improved customer service,Yes,59.53,Yes,Long queues,"4,5,4,1,4",Personalized Offers
26–35,Male,Master's,50k–100k,City C,Self-employed,Weekly,636.81,UPI,"Household Supplies, Frozen Foods, Beverages",Slightly,Never,Morning,Yes,Rarely,1,No,"Free Products, Priority Checkout",Improved customer service,Yes,153.79,Depends,"Price inconsistency, Product unavailability","4,4,2,4,3",Personalized Offers
18–25,Male,Bachelor's,50k–100k,City D,Employed,Weekly,399.55,Cash,"Fresh Produce, Beverages",Strongly,Always,Morning,Yes,Always,2,Yes,"Points, Exclusive Discounts",Faster billing,No,235.5,No,Poor customer service,"4,5,3,1,5",Instant Discounts
26–35,Female,Bachelor's,30k–50k,City C,Employed,Rarely,492.95,Credit Card,"Fresh Produce, Snacks, Beverages",Slightly,Sometimes,Morning,Yes,Rarely,4,Yes,"Points, Exclusive Discounts",More offers,Yes,57.62,Depends,Lack of variety,"5,3,2,5,5",Instant Discounts
26–35,Female,Bachelor's,10k–30k,City C,Employed,Weekly,553.58,Credit Card,"Frozen Foods, Snacks, Beverages",Strongly,Sometimes,Evening,Yes,Sometimes,4,Yes,"Cashback, Points",Faster billing,Yes,257.59,Yes,Price inconsistency,"4,4,4,5,4",Cashback
26–35,Female,Bachelor's,50k–100k,City B,Self-employed,Weekly,523.95,Credit Card,"Fresh Produce, Dairy",Strongly,Sometimes,Evening,No,Rarely,10,Yes,"Points, Free Products",More offers,Maybe,86.02,Yes,"Lack of variety, Product unavailability","5,5,5,3,3",Instant Discounts
18–25,Male,Doctorate,50k–100k,City A,Retired,Daily,631.3,Credit Card,"Frozen Foods, Household Supplies",Moderately,Always,Morning,Yes,Sometimes,6,Maybe,"Cashback, Priority Checkout",Improved customer service,Yes,192.71,Depends,"Long queues, Poor customer service","3,3,2,3,4",Personalized Offers
60+,Male,Other,10k–30k,City B,Self-employed,Weekly,557.48,Mobile Wallet,Snacks,Slightly,Never,Evening,Yes,Never,6,No,"Free Products, Points",Better variety,No,145.76,No,"Poor customer service, Price inconsistency, Lack of variety","5,4,3,1,5",Cashback
60+,Female,Bachelor's,30k–50k,City B,Self-employed,Monthly,396.64,Credit Card,"Household Supplies, Beverages",Moderately,Sometimes,Afternoon,Yes,Sometimes,8,Maybe,"Exclusive Discounts, Priority Checkout",More offers,Maybe,131.69,Depends,"Product unavailability, Price inconsistency, Lack of variety","4,5,2,2,3",Personalized Offers
36–45,Female,Master's,10k–30k,City C,Employed,Weekly,761.43,UPI,"Fresh Produce, Beverages",Strongly,Sometimes,Night,No,Rarely,9,Maybe,"Points, Exclusive Discounts",Improved customer service,Yes,94.38,Depends,Price inconsistency,"3,5,3,5,5",Personalized Offers
26–35,Male,Master's,50k–100k,City C,Student,Weekly,523.32,Cash,"Fresh Produce, Snacks",Slightly,Always,Evening,Yes,Sometimes,1,Yes,"Exclusive Discounts, Free Products",Better variety,Maybe,120.95,No,"Poor customer service, Price inconsistency, Lack of variety","4,4,2,4,3",Personalized Offers
26–35,Male,Bachelor's,>100k,City B,Employed,Bi-weekly,482.32,Others,"Dairy, Beverages",Strongly,Sometimes,Evening,Yes,Rarely,1,Yes,"Free Products, Priority Checkout",Improved customer service,Maybe,77.34,Yes,"Long queues, Poor customer service","3,3,3,1,3",More Points
46–60,Male,Other,<10k,City A,Employed,Daily,615.67,Credit Card,"Snacks, Fresh Produce, Dairy",Strongly,Never,Evening,Yes,Sometimes,6,Yes,"Exclusive Discounts, Free Products",Improved customer service,Yes,176.74,Yes,"Poor customer service, Product unavailability","3,4,4,3,4",More Points
36–45,Male,Bachelor's,50k–100k,City B,Employed,Weekly,529.93,UPI,Frozen Foods,Strongly,Sometimes,Night,Yes,Always,4,No,"Free Products, Exclusive Discounts",More offers,Maybe,187.07,Yes,"Poor customer service, Long queues, Product unavailability","3,5,3,5,4",Cashback
18–25,Male,High school,30k–50k,City B,Employed,Monthly,547.91,Credit Card,"Dairy, Household Supplies",Moderately,Sometimes,Night,Yes,Rarely,4,No,"Priority Checkout, Free Products",More offers,Maybe,80.97,Yes,"Long queues, Price inconsistency, Product unavailability","5,3,3,1,4",Personalized Offers
46–60,Female,Doctorate,>100k,City C,Employed,Monthly,799.06,Cash,"Fresh Produce, Household Supplies",Strongly,Always,Evening,Yes,Rarely,1,Yes,"Free Products, Priority Checkout",Better variety,Maybe,21.57,Depends,"Product unavailability, Lack of variety","5,5,2,1,3",Cashback
46–60,Female,Bachelor's,30k–50k,City A,Employed,Rarely,466.99,UPI,"Household Supplies, Frozen Foods, Fresh Produce",Strongly,Never,Afternoon,Yes,Sometimes,9,Yes,"Priority Checkout, Points",Improved customer service,No,100.33,Yes,"Poor customer service, Product unavailability, Long queues","5,3,3,2,3",More Points
46–60,Female,Master's,50k–100k,City C,Employed,Monthly,461.87,Credit Card,Snacks,Moderately,Always,Afternoon,No,Sometimes,3,Yes,"Exclusive Discounts, Points",Improved customer service,No,239.31,Depends,"Product unavailability, Poor customer service","5,4,3,4,3",More Points
36–45,Female,Doctorate,<10k,City D,Employed,Bi-weekly,513.99,UPI,Dairy,Slightly,Never,Afternoon,No,Rarely,5,Yes,"Cashback, Priority Checkout",Better variety,Yes,133.92,Depends,"Poor customer service, Product unavailability","4,3,2,1,3",More Points
36–45,Female,High school,10k–30k,City A,Student,Weekly,628.58,Mobile Wallet,"Fresh Produce, Snacks, Beverages",Slightly,Sometimes,Evening,Yes,Rarely,10,No,"Priority Checkout, Points",More offers,Yes,189.21,Depends,Poor customer service,"5,4,5,5,3",More Points
26–35,Female,Doctorate,<10k,City B,Unemployed,Monthly,319.22,Mobile Wallet,"Fresh Produce, Dairy, Beverages",Slightly,Sometimes,Afternoon,No,Sometimes,1,Yes,"Cashback, Points",More offers,Yes,64.33,Depends,"Price inconsistency, Product unavailability","3,3,5,3,4",Instant Discounts
46–60,Female,Bachelor's,>100k,City A,Retired,Monthly,264.13,Mobile Wallet,Snacks,Strongly,Sometimes,Night,Yes,Never,8,Yes,"Exclusive Discounts, Points",Improved customer service,Yes,90.83,No,"Product unavailability, Long queues","3,3,2,2,4",Personalized Offers
46–60,Male,Bachelor's,50k–100k,City C,Homemaker,Monthly,429.55,UPI,Beverages,Moderately,Always,Afternoon,Yes,Never,3,Yes,"Points, Cashback",Better variety,Maybe,101.36,Depends,"Price inconsistency, Lack of variety, Poor customer service","5,4,5,2,3",Cashback
18–25,Male,Master's,50k–100k,City C,Student,Bi-weekly,303.93,Cash,"Household Supplies, Fresh Produce, Beverages",Strongly,Sometimes,Night,Yes,Sometimes,1,No,"Points, Priority Checkout",Better variety,Yes,49.73,No,Long queues,"4,3,4,1,5",Personalized Offers
18–25,Male,Doctorate,50k–100k,City B,Homemaker,Weekly,449.02,UPI,Dairy,Strongly,Sometimes,Afternoon,Yes,Sometimes,10,Yes,"Cashback, Points",Faster billing,Maybe,130.01,No,Lack of variety,"4,5,2,4,4",Instant Discounts
26–35,Female,High school,<10k,City C,Retired,Monthly,560.3,UPI,"Frozen Foods, Snacks, Dairy",Moderately,Always,Evening,Yes,Rarely,6,Maybe,"Exclusive Discounts, Points",Better variety,Yes,70.89,No,Long queues,"3,4,5,1,5",Cashback
46–60,Female,Bachelor's,10k–30k,City D,Homemaker,Monthly,393.11,Cash,Dairy,Moderately,Never,Afternoon,No,Never,1,Yes,"Exclusive Discounts, Free Products",Improved customer service,Yes,176.94,No,"Poor customer service, Product unavailability","5,4,5,5,3",Personalized Offers
60+,Male,Master's,<10k,City A,Student,Rarely,328.78,Cash,"Snacks, Fresh Produce, Household Supplies",Not at all,Always,Evening,No,Rarely,3,Yes,"Points, Exclusive Discounts",Faster billing,No,125.35,Yes,"Price inconsistency, Long queues, Poor customer service","5,3,3,3,3",Cashback
18–25,Female,Master's,10k–30k,City A,Self-employed,Weekly,508.32,UPI,"Dairy, Household Supplies, Snacks",Strongly,Sometimes,Afternoon,Yes,Sometimes,5,Yes,"Exclusive Discounts, Points",More offers,Yes,208.85,Yes,Price inconsistency,"4,4,3,4,3",Instant Discounts
26–35,Male,Master's,10k–30k,City D,Retired,Weekly,603.51,Credit Card,"Frozen Foods, Dairy",Moderately,Sometimes,Afternoon,Yes,Always,4,Maybe,"Cashback, Points",Better variety,Maybe,19.36,Yes,"Poor customer service, Long queues","5,5,3,2,4",Instant Discounts
26–35,Female,High school,30k–50k,City C,Self-employed,Weekly,296.6,Credit Card,"Beverages, Dairy",Moderately,Always,Night,Yes,Sometimes,7,No,"Cashback, Points",Improved customer service,Yes,88.14,Yes,"Price inconsistency, Long queues","3,4,3,5,3",Instant Discounts
60+,Male,Bachelor's,10k–30k,City D,Self-employed,Monthly,598.43,Cash,"Fresh Produce, Household Supplies",Not at all,Sometimes,Morning,Yes,Rarely,6,Yes,"Points, Exclusive Discounts",Faster billing,Yes,95.56,Yes,Lack of variety,"5,3,5,2,3",More Points
46–60,Male,Bachelor's,10k–30k,City C,Employed,Weekly,598.08,Mobile Wallet,Fresh Produce,Strongly,Sometimes,Afternoon,Yes,Sometimes,3,Yes,"Cashback, Points",Faster billing,Yes,147.79,Depends,Poor customer service,"3,5,2,2,4",Instant Discounts
46–60,Female,Master's,10k–30k,City D,Employed,Weekly,614.49,Cash,"Snacks, Fresh Produce, Beverages",Strongly,Sometimes,Morning,No,Sometimes,8,Maybe,"Priority Checkout, Free Products",More offers,Yes,94.68,No,"Product unavailability, Price inconsistency","3,3,3,1,5",Personalized Offers
26–35,Male,Bachelor's,10k–30k,City B,Student,Rarely,646.22,Mobile Wallet,"Household Supplies, Beverages",Moderately,Sometimes,Night,Yes,Always,8,Maybe,"Free Products, Points",Faster billing,Yes,223.34,Yes,Price inconsistency,"5,5,4,2,3",Instant Discounts
26–35,Male,Bachelor's,>100k,City C,Self-employed,Daily,764.24,UPI,"Dairy, Frozen Foods",Moderately,Sometimes,Afternoon,No,Sometimes,2,Yes,"Free Products, Points",More offers,Yes,108.95,Depends,Long queues,"5,4,4,5,5",Personalized Offers
26–35,Male,Other,50k–100k,City D,Student,Monthly,457.27,Credit Card,Frozen Foods,Strongly,Never,Evening,Yes,Always,7,Yes,"Cashback, Priority Checkout",Better variety,No,65.67,Depends,Lack of variety,"5,5,4,5,4",Instant Discounts
18–25,Female,High school,>100k,City C,Employed,Weekly,513.15,Mobile Wallet,Fresh Produce,Slightly,Sometimes,Morning,No,Always,1,Maybe,"Cashback, Free Products",Faster billing,Yes,110.34,Depends,"Price inconsistency, Product unavailability, Long queues","5,4,5,4,3",More Points
46–60,Female,Other,30k–50k,City A,Employed,Monthly,450.03,Others,"Snacks, Household Supplies, Frozen Foods",Slightly,Sometimes,Afternoon,No,Rarely,2,Yes,"Priority Checkout, Free Products",Better variety,Yes,100.46,No,"Product unavailability, Price inconsistency","3,5,5,2,5",Cashback
46–60,Male,Master's,10k–30k,City B,Employed,Bi-weekly,500.24,UPI,"Beverages, Fresh Produce, Frozen Foods",Moderately,Sometimes,Night,No,Sometimes,8,No,"Cashback, Exclusive Discounts",More offers,Maybe,175.69,Yes,"Product unavailability, Long queues","3,5,4,4,4",Instant Discounts
60+,Female,Master's,50k–100k,City A,Student,Rarely,683.94,UPI,Fresh Produce,Slightly,Always,Morning,No,Sometimes,1,No,"Exclusive Discounts, Cashback",More offers,Yes,95.29,Yes,"Product unavailability, Price inconsistency","3,5,4,4,5",Personalized Offers
60+,Female,Bachelor's,10k–30k,City A,Self-employed,Rarely,338.6,Credit Card,"Fresh Produce, Frozen Foods, Snacks",Moderately,Sometimes,Evening,Yes,Always,2,Yes,"Points, Priority Checkout",Better variety,Yes,28.78,No,"Product unavailability, Long queues","4,3,4,4,5",Cashback
26–35,Male,High school,10k–30k,City B,Homemaker,Daily,396.67,UPI,"Fresh Produce, Frozen Foods",Moderately,Sometimes,Morning,Yes,Sometimes,1,Maybe,"Priority Checkout, Exclusive Discounts",Better variety,No,130.65,Yes,"Long queues, Price inconsistency","3,4,3,4,5",Cashback
36–45,Male,Master's,10k–30k,City C,Employed,Weekly,665.26,Cash,Beverages,Moderately,Never,Afternoon,No,Sometimes,5,Yes,"Exclusive Discounts, Free Products",Faster billing,Maybe,80.95,Yes,"Price inconsistency, Lack of variety, Product unavailability","5,4,3,3,5",Cashback
46–60,Male,Master's,10k–30k,City C,Student,Weekly,622.4,Cash,"Fresh Produce, Dairy",Slightly,Never,Evening,Yes,Always,7,Maybe,"Priority Checkout, Cashback",Improved customer service,Maybe,50.71,Depends,Price inconsistency,"4,4,2,3,3",Instant Discounts
46–60,Male,Master's,10k–30k,City B,Student,Bi-weekly,456.42,Credit Card,"Dairy, Household Supplies, Fresh Produce",Moderately,Sometimes,Evening,No,Always,6,Maybe,"Free Products, Points",More offers,Maybe,121.35,No,Long queues,"4,5,4,4,3",Instant Discounts
18–25,Female,High school,10k–30k,City C,Retired,Monthly,602.53,Credit Card,"Snacks, Household Supplies, Frozen Foods",Moderately,Sometimes,Evening,Yes,Rarely,6,Yes,"Priority Checkout, Exclusive Discounts",Faster billing,Yes,112.07,Yes,"Lack of variety, Poor customer service, Product unavailability","3,3,2,2,4",Instant Discounts
26–35,Male,Master's,30k–50k,City A,Employed,Bi-weekly,540.95,UPI,"Beverages, Fresh Produce",Moderately,Sometimes,Evening,Yes,Always,6,No,"Exclusive Discounts, Free Products",Better variety,Yes,106.78,Yes,"Product unavailability, Lack of variety","3,4,2,5,4",More Points
18–25,Female,Master's,<10k,City A,Employed,Bi-weekly,680.03,Credit Card,Household Supplies,Moderately,Sometimes,Afternoon,Yes,Always,8,Maybe,"Cashback, Free Products",Improved customer service,Yes,135.63,Yes,Lack of variety,"4,4,4,1,5",More Points
60+,Female,Master's,10k–30k,City A,Student,Weekly,508.94,UPI,"Snacks, Dairy, Frozen Foods",Strongly,Sometimes,Afternoon,No,Rarely,5,No,"Exclusive Discounts, Cashback",Faster billing,Maybe,85.27,Yes,Price inconsistency,"4,5,4,2,3",Personalized Offers
36–45,Male,Master's,50k–100k,City C,Self-employed,Monthly,623.08,UPI,"Dairy, Fresh Produce, Frozen Foods",Slightly,Never,Morning,No,Sometimes,10,Yes,"Priority Checkout, Exclusive Discounts",Faster billing,Yes,126.96,No,"Long queues, Lack of variety, Poor customer service","3,5,3,1,3",Cashback
18–25,Female,Master's,10k–30k,City A,Retired,Rarely,817.04,Mobile Wallet,"Snacks, Dairy, Fresh Produce",Strongly,Always,Night,Yes,Rarely,7,Yes,"Points, Priority Checkout",Better variety,No,84.62,Yes,"Poor customer service, Price inconsistency, Product unavailability","5,5,4,2,3",Cashback
36–45,Male,Master's,10k–30k,City B,Retired,Weekly,571.77,Credit Card,"Beverages, Snacks",Slightly,Sometimes,Night,Yes,Always,3,Maybe,"Exclusive Discounts, Priority Checkout",Faster billing,Maybe,169.33,Depends,"Product unavailability, Price inconsistency, Lack of variety","3,3,5,3,4",Instant Discounts
36–45,Non-binary,High school,50k–100k,City B,Self-employed,Bi-weekly,505.92,Mobile Wallet,"Beverages, Fresh Produce",Moderately,Never,Morning,No,Sometimes,9,No,"Cashback, Priority Checkout",Better variety,Yes,118.57,Depends,"Long queues, Product unavailability, Lack of variety","5,3,3,5,4",Personalized Offers
26–35,Female,Bachelor's,10k–30k,City D,Student,Weekly,586.69,Credit Card,Fresh Produce,Moderately,Sometimes,Morning,No,Sometimes,10,Yes,"Points, Priority Checkout",More offers,Yes,224.99,No,Poor customer service,"5,5,4,3,5",More Points
18–25,Female,High school,<10k,City A,Student,Bi-weekly,456.17,Cash,"Fresh Produce, Frozen Foods",Moderately,Always,Morning,Yes,Never,3,Yes,"Points, Free Products",Improved customer service,Yes,90.31,Depends,"Poor customer service, Price inconsistency","5,4,3,1,4",Personalized Offers
36–45,Female,Bachelor's,30k–50k,City C,Student,Bi-weekly,786.56,Others,"Household Supplies, Frozen Foods",Strongly,Always,Night,No,Always,6,Yes,"Exclusive Discounts, Cashback",Faster billing,Yes,141.43,Yes,"Lack of variety, Price inconsistency, Product unavailability","4,3,2,1,3",Cashback
26–35,Male,Bachelor's,10k–30k,City C,Employed,Weekly,521.61,Cash,Beverages,Moderately,Sometimes,Night,Yes,Sometimes,3,Yes,"Priority Checkout, Exclusive Discounts",Improved customer service,Yes,187.78,No,"Price inconsistency, Lack of variety","4,5,2,4,5",Cashback
36–45,Female,High school,30k–50k,City D,Student,Weekly,467.25,Cash,"Frozen Foods, Fresh Produce, Household Supplies",Moderately,Sometimes,Afternoon,Yes,Always,1,Maybe,"Free Products, Exclusive Discounts",Faster billing,Yes,152.17,No,"Lack of variety, Price inconsistency, Product unavailability","5,3,2,1,3",More Points
26–35,Female,Bachelor's,50k–100k,City D,Employed,Weekly,399.72,UPI,Dairy,Strongly,Sometimes,Afternoon,Yes,Always,1,Maybe,"Priority Checkout, Points",Improved customer service,Maybe,128.43,No,"Poor customer service, Long queues, Product unavailability","5,4,4,3,5",Instant Discounts
46–60,Female,High school,10k–30k,City A,Employed,Bi-weekly,631.67,Credit Card,"Snacks, Beverages, Household Supplies",Slightly,Sometimes,Afternoon,No,Never,3,No,"Priority Checkout, Exclusive Discounts",Faster billing,Maybe,140.16,Yes,"Product unavailability, Lack of variety, Long queues","3,3,3,2,4",More Points
26–35,Female,Master's,30k–50k,City A,Unemployed,Bi-weekly,604.06,UPI,"Snacks, Household Supplies",Slightly,Never,Evening,No,Always,4,Maybe,"Exclusive Discounts, Priority Checkout",More offers,No,150.45,Yes,"Poor customer service, Price inconsistency","5,4,4,5,5",Instant Discounts
26–35,Female,Doctorate,30k–50k,City D,Self-employed,Daily,440.32,Credit Card,"Fresh Produce, Snacks",Not at all,Sometimes,Evening,No,Rarely,2,Yes,"Points, Exclusive Discounts",More offers,No,137.87,Yes,"Lack of variety, Product unavailability","3,3,5,1,4",Cashback
46–60,Male,High school,10k–30k,City B,Retired,Monthly,569.17,Credit Card,"Dairy, Beverages",Slightly,Sometimes,Afternoon,No,Always,9,Maybe,"Priority Checkout, Points",Improved customer service,Yes,119.12,No,"Long queues, Price inconsistency, Product unavailability","4,4,4,1,5",More Points
26–35,Male,Other,30k–50k,City C,Homemaker,Monthly,318.97,Credit Card,"Beverages, Snacks",Moderately,Sometimes,Night,Yes,Rarely,8,Maybe,"Points, Exclusive Discounts",Faster billing,Yes,164.23,Depends,"Lack of variety, Product unavailability, Price inconsistency","4,4,3,1,3",Cashback
18–25,Female,Bachelor's,10k–30k,City C,Student,Weekly,522.2,Credit Card,"Household Supplies, Fresh Produce, Snacks",Moderately,Always,Evening,No,Sometimes,3,No,"Cashback, Free Products",Faster billing,Yes,114.92,No,"Long queues, Lack of variety","3,4,3,2,4",Instant Discounts
18–25,Male,Bachelor's,30k–50k,City C,Homemaker,Weekly,554.33,Credit Card,Household Supplies,Slightly,Sometimes,Morning,Yes,Rarely,7,Yes,"Points, Priority Checkout",More offers,Yes,60.92,Depends,"Poor customer service, Lack of variety","4,3,3,4,5",Instant Discounts
36–45,Female,High school,<10k,City D,Employed,Monthly,704.88,UPI,"Household Supplies, Frozen Foods, Beverages",Not at all,Never,Evening,No,Always,4,Yes,"Priority Checkout, Points",Improved customer service,Maybe,243.51,Yes,"Long queues, Poor customer service, Lack of variety","4,3,3,3,4",Personalized Offers
36–45,Female,Bachelor's,30k–50k,City D,Self-employed,Rarely,407.5,Mobile Wallet,Snacks,Strongly,Never,Afternoon,Yes,Rarely,5,Yes,"Free Products, Cashback",More offers,Maybe,172.65,Depends,"Price inconsistency, Lack of variety","5,5,2,2,5",Instant Discounts
36–45,Male,Master's,10k–30k,City C,Employed,Weekly,346.6,UPI,"Snacks, Beverages",Strongly,Always,Night,No,Rarely,4,Yes,"Priority Checkout, Free Products",More offers,Yes,65.31,Yes,"Long queues, Product unavailability, Price inconsistency","4,4,5,2,4",Instant Discounts
18–25,Male,Master's,50k–100k,City B,Unemployed,Weekly,392.55,Cash,Beverages,Strongly,Never,Afternoon,No,Sometimes,9,Yes,"Cashback, Exclusive Discounts",Improved customer service,Yes,105.34,Yes,"Poor customer service, Product unavailability","3,4,2,3,4",Instant Discounts
18–25,Female,High school,<10k,City D,Employed,Weekly,339.61,Mobile Wallet,"Beverages, Frozen Foods, Dairy",Strongly,Sometimes,Afternoon,No,Rarely,7,Maybe,"Exclusive Discounts, Priority Checkout",Improved customer service,Yes,85.82,No,Price inconsistency,"5,3,3,5,5",Personalized Offers
18–25,Male,High school,30k–50k,City A,Employed,Bi-weekly,660.4,Mobile Wallet,"Frozen Foods, Fresh Produce, Snacks",Strongly,Sometimes,Evening,No,Rarely,4,Maybe,"Free Products, Exclusive Discounts",More offers,Yes,90.11,Yes,"Lack of variety, Long queues","3,5,4,3,4",Personalized Offers
26–35,Female,Bachelor's,30k–50k,City A,Unemployed,Weekly,685.84,UPI,"Snacks, Fresh Produce, Frozen Foods",Strongly,Always,Evening,Yes,Rarely,8,Yes,"Cashback, Priority Checkout",Improved customer service,No,172.03,Yes,"Price inconsistency, Lack of variety","3,4,2,4,4",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City D,Student,Weekly,538.43,Cash,"Fresh Produce, Beverages, Household Supplies",Moderately,Never,Afternoon,No,Sometimes,2,Yes,"Free Products, Points",More offers,Maybe,100.1,Depends,"Poor customer service, Lack of variety, Product unavailability","4,4,4,4,3",Instant Discounts
26–35,Female,Bachelor's,30k–50k,City B,Self-employed,Bi-weekly,646.56,Mobile Wallet,"Household Supplies, Beverages, Snacks",Slightly,Always,Night,Yes,Sometimes,7,No,"Priority Checkout, Points",More offers,Maybe,234.97,Depends,"Price inconsistency, Poor customer service","5,4,5,4,4",Instant Discounts
26–35,Male,Bachelor's,30k–50k,City A,Homemaker,Bi-weekly,516.08,UPI,"Frozen Foods, Household Supplies",Moderately,Sometimes,Afternoon,No,Rarely,1,Yes,"Points, Exclusive Discounts",Improved customer service,No,14.0,Yes,"Price inconsistency, Long queues","5,4,3,4,3",More Points
46–60,Female,Master's,50k–100k,City A,Retired,Weekly,488.59,Credit Card,"Beverages, Snacks, Frozen Foods",Not at all,Sometimes,Afternoon,No,Sometimes,8,Yes,"Exclusive Discounts, Points",Improved customer service,Yes,118.22,Yes,"Long queues, Product unavailability","3,3,2,1,3",Personalized Offers
26–35,Male,Doctorate,50k–100k,City D,Unemployed,Weekly,460.04,UPI,"Snacks, Fresh Produce",Strongly,Always,Night,Yes,Sometimes,6,Yes,"Free Products, Cashback",Faster billing,Maybe,40.11,Yes,"Lack of variety, Price inconsistency","4,4,2,3,3",Cashback
26–35,Female,Bachelor's,10k–30k,City C,Unemployed,Bi-weekly,462.75,Cash,"Dairy, Fresh Produce",Moderately,Sometimes,Morning,No,Never,5,Yes,"Exclusive Discounts, Free Products",More offers,Maybe,139.65,Depends,Poor customer service,"4,5,4,3,4",Cashback
36–45,Male,Doctorate,30k–50k,City C,Student,Daily,314.26,UPI,Frozen Foods,Moderately,Always,Morning,Yes,Sometimes,9,Yes,"Exclusive Discounts, Free Products",More offers,Yes,146.85,Yes,"Long queues, Lack of variety","5,4,3,5,4",Instant Discounts
26–35,Female,Bachelor's,50k–100k,City A,Retired,Weekly,531.71,UPI,Beverages,Not at all,Sometimes,Evening,No,Sometimes,9,Maybe,"Priority Checkout, Exclusive Discounts",Improved customer service,Yes,173.94,Yes,Poor customer service,"5,4,3,5,3",Cashback
36–45,Female,Bachelor's,>100k,City D,Self-employed,Monthly,495.16,UPI,Frozen Foods,Moderately,Sometimes,Morning,No,Sometimes,3,No,"Priority Checkout, Free Products",Improved customer service,Maybe,46.38,Yes,"Poor customer service, Long queues, Lack of variety","4,4,3,1,3",Personalized Offers
46–60,Male,Bachelor's,50k–100k,City D,Self-employed,Weekly,589.44,Credit Card,"Dairy, Household Supplies, Frozen Foods",Moderately,Sometimes,Night,Yes,Rarely,9,Maybe,"Free Products, Cashback",Faster billing,Yes,145.88,Yes,Product unavailability,"5,5,4,3,3",Personalized Offers
46–60,Male,Master's,10k–30k,City B,Student,Monthly,511.22,Cash,"Beverages, Household Supplies",Slightly,Never,Afternoon,Yes,Never,9,Yes,"Cashback, Priority Checkout",Improved customer service,No,67.59,Yes,"Poor customer service, Lack of variety","3,4,5,4,5",Instant Discounts
18–25,Male,Other,10k–30k,City B,Self-employed,Rarely,480.48,UPI,Fresh Produce,Moderately,Sometimes,Evening,Yes,Never,2,Yes,"Free Products, Cashback",More offers,Yes,125.75,Yes,"Poor customer service, Product unavailability","4,4,2,2,4",More Points
46–60,Female,Master's,30k–50k,City A,Unemployed,Weekly,395.46,Mobile Wallet,Household Supplies,Not at all,Always,Morning,No,Rarely,5,No,"Exclusive Discounts, Points",Better variety,Maybe,93.48,Yes,Product unavailability,"3,3,2,4,3",Instant Discounts
26–35,Female,Bachelor's,30k–50k,City D,Unemployed,Weekly,508.66,Cash,"Snacks, Beverages",Moderately,Sometimes,Afternoon,No,Sometimes,2,No,"Exclusive Discounts, Free Products",More offers,No,44.13,Yes,"Price inconsistency, Product unavailability","5,5,4,1,5",More Points
26–35,Female,Master's,30k–50k,City C,Employed,Bi-weekly,588.59,UPI,"Beverages, Dairy, Household Supplies",Moderately,Sometimes,Evening,Yes,Always,1,Yes,"Exclusive Discounts, Priority Checkout",Better variety,No,163.34,Depends,Poor customer service,"3,5,5,3,3",More Points
26–35,Male,High school,30k–50k,City D,Student,Monthly,362.8,Mobile Wallet,"Snacks, Household Supplies",Strongly,Never,Evening,No,Always,7,Yes,"Cashback, Priority Checkout",Faster billing,Maybe,104.49,Depends,"Poor customer service, Long queues, Price inconsistency","3,4,3,4,5",Personalized Offers
60+,Male,Doctorate,50k–100k,City B,Employed,Rarely,510.5,Cash,"Fresh Produce, Dairy, Beverages",Moderately,Always,Night,Yes,Always,4,Maybe,"Free Products, Priority Checkout",Improved customer service,Maybe,171.46,Yes,Product unavailability,"3,3,3,5,5",Cashback
26–35,Female,Bachelor's,10k–30k,City D,Retired,Monthly,527.97,Credit Card,Snacks,Moderately,Sometimes,Afternoon,Yes,Always,5,Yes,"Free Products, Cashback",Faster billing,Maybe,175.74,No,Lack of variety,"3,3,2,5,3",Personalized Offers
26–35,Female,Bachelor's,50k–100k,City D,Homemaker,Weekly,413.83,Cash,Fresh Produce,Strongly,Never,Evening,Yes,Rarely,4,Yes,"Priority Checkout, Free Products",Faster billing,Yes,198.68,No,"Long queues, Lack of variety","4,4,4,5,4",Personalized Offers
36–45,Prefer not to say,Bachelor's,30k–50k,City C,Employed,Bi-weekly,429.46,Mobile Wallet,"Fresh Produce, Beverages, Frozen Foods",Moderately,Never,Afternoon,Yes,Rarely,6,Yes,"Priority Checkout, Points",Improved customer service,Yes,89.59,Yes,Lack of variety,"5,4,4,3,3",Personalized Offers
18–25,Male,Master's,10k–30k,City D,Student,Weekly,527.67,Mobile Wallet,"Fresh Produce, Household Supplies",Moderately,Sometimes,Evening,Yes,Sometimes,2,Yes,"Exclusive Discounts, Priority Checkout",Faster billing,Yes,64.27,Yes,"Poor customer service, Product unavailability","5,4,3,4,4",Instant Discounts
